Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-02-29,2016,2,29,Monday,09,2016-09,195.11,196.23,193.33,193.56,125918100.0,175.74,-0.007842535592658462,173.24928571428572,173.5033333333333
2016-03-01,2016,3,1,Tuesday,09,2016-09,195.01,198.21,194.45,198.11,141799700.0,179.87,0.02350719663699663,174.07142857142858,173.66249999999997
2016-03-02,2016,3,2,Wednesday,09,2016-09,197.74,199.06,197.25,199.0,102415000.0,180.68,0.004492171063882999,174.96214285714285,173.83365853658535
2016-03-03,2016,3,3,Thursday,09,2016-09,198.79,199.8,198.11,199.78,95172200.0,181.39,0.003919679878875204,176.05928571428566,174.01357142857142
2016-03-04,2016,3,4,Friday,09,2016-09,200.01,201.35,199.03,200.43,129293600.0,181.98,0.0032536045845397155,176.9542857142857,174.1988372093023
2016-03-07,2016,3,7,Monday,10,2016-10,199.34,201.07,199.25,200.59,100219000.0,182.12,0.0007983325322895585,177.65499999999997,174.3788636363636
2016-03-08,2016,3,8,Tuesday,10,2016-10,199.32,199.92,198.21,198.4,123974900.0,180.13,-0.010917899676673892,178.01285714285714,174.50666666666666
2016-03-09,2016,3,9,Wednesday,10,2016-10,199.36,199.79,198.43,199.38,94801200.0,181.02,0.004939638639097854,178.48499999999999,174.6482608695652
2016-03-10,2016,3,10,Thursday,10,2016-10,199.96,201.07,197.38,199.54,156838700.0,181.17,0.0008024524700742663,178.9742857142857,174.78702127659574
2016-03-11,2016,3,11,Friday,10,2016-10,201.26,202.81,199.52,202.76,137964500.0,184.09,0.016137081049504065,179.49142857142857,174.98083333333332
2016-03-14,2016,3,14,Monday,11,2016-11,202.16,203.04,201.77,202.5,73612000.0,183.86,-0.0012823308632446961,180.15214285714288,175.16204081632654
2016-03-15,2016,3,15,Tuesday,11,2016-11,201.36,202.53,201.05,202.17,93169100.0,183.56,-0.0016296412116975079,180.73428571428573,175.33
2016-03-16,2016,3,16,Wednesday,11,2016-11,201.6,203.82,201.55,203.34,129303200.0,184.62,0.00578720464000515,181.24,175.37220000000002
2016-03-17,2016,3,17,Thursday,11,2016-11,203.24,205.23,202.77,204.63,134278500.0,185.79,0.006344024345290578,181.85857142857142,175.43160000000003
2016-03-18,2016,3,18,Friday,11,2016-11,204.17,204.78,203.8,204.38,138372400.0,186.52,0.003929774085419391,182.62857142857143,175.55160000000004
2016-03-21,2016,3,21,Monday,12,2016-12,204.07,204.94,203.8,204.67,72926700.0,186.79,0.0014190272194551934,183.12285714285716,175.76360000000005
2016-03-22,2016,3,22,Tuesday,12,2016-12,203.76,205.23,203.57,204.56,97471900.0,186.69,-0.0005377735033285092,183.55214285714288,176.01240000000004
2016-03-23,2016,3,23,Wednesday,12,2016-12,204.11,204.33,203.01,203.21,81052500.0,185.45,-0.006599218774903659,183.84214285714287,176.23300000000006
2016-03-24,2016,3,24,Thursday,12,2016-12,202.0,203.16,201.74,203.12,84360900.0,185.37,-0.0004429857072110188,184.08428571428573,176.42380000000009
2016-03-28,2016,3,28,Monday,13,2016-13,203.61,203.86,202.71,203.24,62408200.0,185.48,0.0005906898683105677,184.32428571428574,176.70440000000005
2016-03-29,2016,3,29,Tuesday,13,2016-13,202.76,205.25,202.4,205.12,92922900.0,187.2,0.009250241224618927,184.82928571428573,176.96320000000006
2016-03-30,2016,3,30,Wednesday,13,2016-13,206.3,206.87,205.59,206.02,86365300.0,188.02,0.004387711701037356,185.32928571428573,177.31320000000008
2016-03-31,2016,3,31,Thursday,13,2016-13,205.91,206.41,205.33,205.52,94584100.0,187.56,-0.00242688761645371,185.78571428571428,177.64940000000007
2016-04-01,2016,4,1,Friday,13,2016-13,204.35,207.14,203.98,206.92,114423500.0,188.84,0.006811719215938927,186.125,178.05500000000006
2016-04-04,2016,4,4,Monday,14,2016-14,206.83,207.07,205.89,206.25,63497000.0,188.23,-0.0032380178673168114,186.43714285714285,178.42960000000005
2016-04-05,2016,4,5,Tuesday,14,2016-14,204.67,206.26,203.89,204.19,99662200.0,186.35,-0.009987671562913136,186.63642857142855,178.6970000000001
2016-04-06,2016,4,6,Wednesday,14,2016-14,204.19,206.49,203.98,206.42,91839800.0,188.38,0.010921184625297453,186.905,179.05720000000005
2016-04-07,2016,4,7,Thursday,14,2016-14,205.14,205.56,203.09,203.95,113859000.0,186.13,-0.011965937133025295,186.92928571428573,179.32600000000002
2016-04-08,2016,4,8,Friday,14,2016-14,205.34,205.85,203.87,204.5,95040600.0,186.63,0.0026966388668181462,186.93714285714287,179.6424
2016-04-11,2016,4,11,Monday,15,2016-15,205.25,206.07,203.91,204.02,83757500.0,186.19,-0.0023469791044785637,186.89428571428576,179.93220000000002
2016-04-12,2016,4,12,Tuesday,15,2016-15,204.22,206.25,203.7,205.92,115350600.0,187.93,0.009312725038877812,186.98285714285717,180.17300000000003
2016-04-13,2016,4,13,Wednesday,15,2016-15,207.0,208.1,206.84,208.0,96336400.0,189.83,0.01010094776921,187.2957142857143,180.45320000000004
2016-04-14,2016,4,14,Thursday,15,2016-15,208.07,208.6,207.6,208.01,65212900.0,189.83,4.81496700743822e-05,187.61428571428573,180.79680000000005
2016-04-15,2016,4,15,Friday,15,2016-15,208.01,208.17,207.4,207.78,75761600.0,189.62,-0.0011058618797964437,187.91000000000003,181.11540000000005
2016-04-18,2016,4,18,Monday,16,2016-16,207.78,209.28,207.0,209.24,82531000.0,190.96,0.007026754260426982,188.17857142857147,181.45540000000005
2016-04-19,2016,4,19,Tuesday,16,2016-16,209.74,210.2,208.94,209.9,88316100.0,191.56,0.00315425097526556,188.4314285714286,181.87360000000004
2016-04-20,2016,4,20,Wednesday,16,2016-16,209.95,210.92,209.39,210.1,81100300.0,191.74,0.0009527629967593931,188.73000000000005,182.34140000000002
2016-04-21,2016,4,21,Thursday,16,2016-16,210.12,210.25,208.65,208.97,85695000.0,190.71,-0.005378173997640401,188.86357142857148,182.7884
2016-04-22,2016,4,22,Friday,16,2016-16,208.55,209.29,207.91,208.97,99251700.0,190.71,0.0,189.04071428571433,183.2384
2016-04-25,2016,4,25,Monday,17,2016-17,208.26,208.66,207.54,208.61,66166500.0,190.38,-0.0017229415013594318,189.32857142857148,183.72539999999998
2016-04-26,2016,4,26,Tuesday,17,2016-17,209.04,209.52,208.36,208.92,75864200.0,190.66,0.00148619135633421,189.4914285714286,184.14959999999996
2016-04-27,2016,4,27,Wednesday,17,2016-17,208.47,209.81,208.05,209.35,77329400.0,191.06,0.002058197087216662,189.84357142857147,184.52459999999996
2016-04-28,2016,4,28,Thursday,17,2016-17,208.46,209.76,206.96,207.45,97216200.0,189.32,-0.009075865417790152,190.0357142857143,184.80859999999993
2016-04-29,2016,4,29,Friday,17,2016-17,206.72,207.13,205.03,206.33,142424100.0,188.3,-0.0053988400545477155,190.18642857142862,185.0863999999999
2016-05-02,2016,5,2,Monday,18,2016-18,206.92,208.18,206.41,207.97,62188000.0,189.8,0.00794846624454415,190.32000000000008,185.3959999999999
2016-05-03,2016,5,3,Tuesday,18,2016-18,206.52,206.8,205.28,206.16,106422100.0,188.15,-0.008703162466589864,190.20000000000007,185.6219999999999
2016-05-04,2016,5,4,Wednesday,18,2016-18,204.99,205.85,204.42,205.01,92243800.0,187.1,-0.005578359762883789,190.00500000000008,185.8717999999999
2016-05-05,2016,5,5,Thursday,18,2016-18,205.56,205.98,204.47,204.97,67619200.0,187.06,-0.0001947552445271672,189.82214285714295,186.1047999999999
2016-05-06,2016,5,6,Friday,18,2016-18,204.06,205.77,203.88,205.72,89315000.0,187.74,0.0036588978882396983,189.59214285714293,186.30879999999988
2016-05-09,2016,5,9,Monday,19,2016-19,205.57,206.4,205.36,205.89,74374900.0,187.9,0.0008263159062520398,189.33071428571435,186.52419999999987
2016-05-10,2016,5,10,Tuesday,19,2016-19,206.72,208.47,206.64,208.45,77472200.0,190.24,0.012433960269211619,189.2235714285715,186.8141999999999
2016-05-11,2016,5,11,Wednesday,19,2016-19,207.91,208.54,206.5,206.5,81727000.0,188.46,-0.009354798139002418,189.0628571428572,186.98599999999985
2016-05-12,2016,5,12,Thursday,19,2016-19,207.29,207.49,205.37,206.56,89586300.0,188.51,0.0002905107199508983,188.90571428571437,187.14259999999985
2016-05-13,2016,5,13,Friday,19,2016-19,206.21,206.86,204.38,204.76,96474600.0,186.87,-0.008714328371667412,188.65500000000006,187.25219999999987
2016-05-16,2016,5,16,Monday,20,2016-20,204.96,207.34,204.89,206.78,77486800.0,188.71,0.009865438482804079,188.51571428571438,187.38679999999985
2016-05-17,2016,5,17,Tuesday,20,2016-20,206.46,206.8,204.23,204.85,114924900.0,186.95,-0.009333482111452573,188.22214285714293,187.48339999999985
2016-05-18,2016,5,18,Wednesday,20,2016-20,204.44,206.3,203.63,204.91,120062100.0,187.01,0.0002926057904604207,188.0571428571429,187.62099999999987
2016-05-19,2016,5,19,Thursday,20,2016-20,204.06,204.54,202.78,204.2,115430500.0,186.36,-0.003465038410308985,187.91857142857148,187.7277999999999
2016-05-20,2016,5,20,Friday,20,2016-20,204.92,206.1,204.86,205.49,104990400.0,187.53,0.0063175616866417705,187.75642857142861,187.8549999999999
2016-05-23,2016,5,23,Monday,21,2016-21,205.51,205.84,204.99,205.21,58682600.0,187.28,-0.0013626242905456776,187.69428571428577,187.9187999999999
2016-05-24,2016,5,24,Tuesday,21,2016-21,206.17,208.24,206.14,207.87,93537800.0,189.71,0.012962227262165005,187.88071428571433,188.03579999999988
2016-05-25,2016,5,25,Wednesday,21,2016-21,208.67,209.77,207.87,209.28,76621400.0,190.99,0.006783054228399532,188.16142857142862,188.18439999999987
2016-05-26,2016,5,26,Thursday,21,2016-21,209.44,209.71,208.97,209.34,55280700.0,191.05,0.0002868115195329146,188.3978571428572,188.31299999999985
2016-05-27,2016,5,27,Friday,21,2016-21,209.53,210.25,209.47,210.24,64211200.0,191.87,0.004299341856461192,188.6814285714286,188.43459999999985
2016-05-31,2016,5,31,Tuesday,22,2016-22,210.56,210.69,209.18,209.84,109879400.0,191.5,-0.0019026031641712349,188.77142857142857,188.53419999999983
2016-06-01,2016,6,1,Wednesday,22,2016-22,209.12,210.48,208.89,210.27,69936200.0,191.9,0.002049252985575789,189.0171428571429,188.6363999999998
2016-06-02,2016,6,2,Thursday,22,2016-22,209.8,210.93,209.24,210.91,63044700.0,192.48,0.003043539729898237,189.3007142857143,188.7521999999998
2016-06-03,2016,6,3,Friday,22,2016-22,210.25,210.69,208.86,210.28,101757100.0,191.91,-0.0029869779209860114,189.66071428571428,188.8813999999998
2016-06-06,2016,6,6,Monday,23,2016-23,210.7,211.77,210.51,211.35,64887000.0,192.88,0.0050885193408181095,189.95857142857145,189.03159999999974
2016-06-07,2016,6,7,Tuesday,23,2016-23,211.53,212.34,211.5,211.68,60974800.0,193.18,0.0015611427811978995,190.40357142857144,189.18559999999977
2016-06-08,2016,6,8,Wednesday,23,2016-23,211.84,212.52,211.69,212.37,66170900.0,193.81,0.003259830556107124,190.8892857142857,189.31779999999972
2016-06-09,2016,6,9,Thursday,23,2016-23,211.51,212.22,211.19,212.08,73786900.0,193.55,-0.0013656391306863247,191.40285714285713,189.4283999999997
2016-06-10,2016,6,10,Friday,23,2016-23,210.46,210.86,209.43,210.07,113829200.0,191.71,-0.009477390296536714,191.70142857142855,189.5113999999997
2016-06-13,2016,6,13,Monday,24,2016-24,209.36,210.37,208.35,208.45,117751200.0,190.24,-0.007711762260087851,191.9128571428571,189.5393999999997
2016-06-14,2016,6,14,Tuesday,24,2016-24,208.0,208.74,206.92,208.04,125059300.0,189.86,-0.0019669066867127327,191.9235714285714,189.57199999999972
2016-06-15,2016,6,15,Wednesday,24,2016-24,208.04,209.36,207.53,207.75,109124500.0,189.6,-0.0013940625760984204,191.82428571428565,189.63699999999972
2016-06-16,2016,6,16,Thursday,24,2016-24,207.75,208.57,205.59,208.37,149533100.0,190.16,0.002984203999799151,191.7607142857142,189.67259999999973
2016-06-17,2016,6,17,Friday,24,2016-24,207.17,207.2,205.75,206.52,117055700.0,189.45,-0.003723970720490799,191.58785714285705,189.73899999999975
2016-06-20,2016,6,20,Monday,25,2016-25,208.82,209.61,207.75,207.85,82789600.0,190.67,0.006440109103555525,191.52857142857133,189.8197999999998
2016-06-21,2016,6,21,Tuesday,25,2016-25,208.3,208.92,207.78,208.44,72461700.0,191.22,0.0028385758545397266,191.47999999999988,189.92039999999974
2016-06-22,2016,6,22,Wednesday,25,2016-25,208.65,209.5,207.93,208.1,95560500.0,190.9,-0.0016311660686815221,191.36714285714274,189.97979999999973
2016-06-23,2016,6,23,Thursday,25,2016-25,209.81,210.87,209.27,210.81,102731400.0,193.39,0.013022451689841397,191.47285714285704,190.05099999999973
2016-06-24,2016,6,24,Friday,25,2016-25,203.63,210.85,202.72,203.24,333444400.0,186.45,-0.035908998020358185,191.0135714285713,189.98339999999973
2016-06-27,2016,6,27,Monday,26,2016-26,201.59,201.6,198.65,199.6,230775800.0,183.11,-0.017910042467819687,190.29428571428562,189.85319999999973
2016-06-28,2016,6,28,Tuesday,26,2016-26,201.48,203.23,201.12,203.2,159382400.0,186.41,0.018036329491074143,189.76571428571418,189.76219999999975
2016-06-29,2016,6,29,Wednesday,26,2016-26,204.84,206.93,204.72,206.66,137328600.0,189.58,0.017027469826656594,189.48214285714272,189.72259999999977
2016-06-30,2016,6,30,Thursday,26,2016-26,207.21,209.54,206.56,209.48,165021900.0,192.17,0.013645366002734471,189.51499999999987,189.73119999999977
2016-07-01,2016,7,1,Friday,26,2016-26,209.48,210.49,209.29,209.92,106055300.0,192.57,0.002100674858472873,189.68142857142843,189.7683999999998
2016-07-05,2016,7,5,Tuesday,27,2016-27,208.95,209.08,207.71,208.41,109803700.0,191.19,-0.007193452812978007,189.77642857142843,189.77799999999982
2016-07-06,2016,7,6,Wednesday,27,2016-27,207.83,209.8,207.06,209.66,96021500.0,192.34,0.005998059493592889,189.97214285714273,189.81719999999984
2016-07-07,2016,7,7,Thursday,27,2016-27,209.87,210.65,208.63,209.53,85593800.0,192.22,-0.0006202363165420666,190.11928571428558,189.84839999999983
2016-07-08,2016,7,8,Friday,27,2016-27,211.05,212.94,210.78,212.65,133971000.0,195.08,0.014890543861243666,190.52142857142846,189.92879999999982
2016-07-11,2016,7,11,Monday,28,2016-28,213.19,214.07,212.95,213.4,73633900.0,195.77,0.0035269689420860395,190.88571428571416,190.05779999999984
2016-07-12,2016,7,12,Tuesday,28,2016-28,214.53,215.3,213.43,214.95,101275600.0,197.19,0.007263134207963873,191.31214285714276,190.23559999999986
2016-07-13,2016,7,13,Wednesday,28,2016-28,215.44,215.45,214.35,214.92,87324100.0,197.16,-0.00013944230969087368,191.7592857142856,190.3827999999999
2016-07-14,2016,7,14,Thursday,28,2016-28,216.4,216.67,215.66,216.12,91230900.0,198.26,0.005583423399159848,192.10714285714275,190.5849999999999
2016-07-15,2016,7,15,Friday,28,2016-28,216.78,217.01,215.31,215.83,107155400.0,198.0,-0.0013416967534447544,192.93214285714276,190.80299999999988
2016-07-18,2016,7,18,Monday,29,2016-29,215.97,216.6,215.67,216.41,58725900.0,198.53,0.002687152777135493,194.03357142857135,191.0323999999999
2016-07-19,2016,7,19,Tuesday,29,2016-29,215.92,216.23,215.63,216.19,54345700.0,198.33,-0.0010164723084504779,194.88499999999993,191.24419999999992
2016-07-20,2016,7,20,Wednesday,29,2016-29,216.19,217.37,216.19,217.09,58159500.0,199.15,0.00416296754619494,195.56857142857137,191.46919999999992
2016-07-21,2016,7,21,Thursday,29,2016-29,216.96,217.22,215.75,216.27,67777300.0,198.4,-0.003777094351965604,196.01357142857137,191.6323999999999
2016-07-22,2016,7,22,Friday,29,2016-29,216.41,217.3,216.1,217.24,62787500.0,199.29,0.004484986083199249,196.49357142857136,191.84899999999993
2016-07-25,2016,7,25,Monday,30,2016-30,217.0,217.06,215.97,216.65,55873100.0,198.75,-0.002715881409599996,197.03357142857135,192.05379999999994
2016-07-26,2016,7,26,Tuesday,30,2016-30,216.53,217.17,215.76,216.75,70080500.0,198.84,0.00046164663126946337,197.49785714285707,192.29319999999993
2016-07-27,2016,7,27,Wednesday,30,2016-30,217.19,217.27,215.62,216.52,84083900.0,198.63,-0.0010611515028592367,197.95571428571424,192.49159999999992
2016-07-28,2016,7,28,Thursday,30,2016-30,216.29,217.11,215.75,216.77,65035700.0,198.86,0.0011544637639497868,198.22571428571425,192.72979999999993
2016-07-29,2016,7,29,Friday,30,2016-30,216.46,217.54,216.13,217.12,79519400.0,199.18,0.0016146771025620232,198.46928571428566,192.97319999999993
